#Config,TranslationTime,SolvingTime,#Vars,#Clauses
10,6,2,90
11,8,2,110
12,7,2,132
13,8,3,156
14,9,3,182
15,12,3,210
16,12,3,240
17,12,4,272
18,10,2,306
19,10,3,342
20,12,3,380
21,13,3,420
22,13,3,462
23,13,3,506
24,17,3,552
25,20,4,600
26,24,4,650
27,25,5,702
28,23,3,756
29,30,5,812
30,25,4,870
31,44,5,930
32,29,5,992
33,23,5,1056
34,35,7,1122
35,38,6,1190
36,44,6,1260
37,86,10,1332
38,53,9,1406
39,45,8,1482
40,50,9,1560
41,71,11,1640
42,62,10,1722
43,71,11,1806
44,74,11,1892
45,72,13,1980
46,77,12,2070
47,85,14,2162
48,89,14,2256
49,100,15,2352
