#Config,MeanTranslationTime
10,1
11,2
12,2
13,3
14,1
15,3
16,3
17,4
18,9
19,6
20,6
21,14
22,10
23,9
24,11
25,11
26,12
27,15
28,14
29,10
30,12
31,12
32,13
33,15
34,16
35,17
36,19
37,21
38,22
39,24
40,27
41,27
42,30
43,32
44,35
45,37
46,40
47,42
48,48
49,49
50,53
51,53
52,57
53,62
54,67
55,70
56,74
57,78
58,85
59,86
60,93
61,98
62,103
63,107
64,118
65,120
66,127
67,129
68,140
69,147
70,152
71,160
72,164
73,176
74,176
75,185
76,191
77,193
78,206
79,230
80,232
81,237
82,260
83,251
84,282
85,263
86,276
87,305
88,287
89,311
90,328
91,343
92,362
93,378
94,404
95,397
96,384
97,438
98,442
99,412
