#Config,TranslationTime,SolvingTime,Sat,#Vars,#Clauses
10,0,0,false,90,717
11,0,0,false,110,887
12,1,0,false,132,1075
13,1,0,false,156,1281
14,1,0,false,182,1505
15,1,0,false,210,1747
16,1,0,false,240,2007
17,1,0,false,272,2285
18,1,0,false,306,2581
19,1,0,false,342,2895
20,1,0,false,380,3227
21,1,0,false,420,3577
22,2,0,false,462,3945
23,2,0,false,506,4331
24,2,0,false,552,4735
25,2,0,false,600,5157
26,3,0,false,650,5597
27,3,0,false,702,6055
28,3,0,false,756,6531
29,3,0,false,812,7025
30,4,0,false,870,7537
31,4,0,false,930,8067
32,5,0,false,992,8615
33,5,0,false,1056,9181
34,5,0,false,1122,9765
35,6,0,false,1190,10367
36,12,0,false,1260,10987
37,9,0,false,1332,11625
38,7,0,false,1406,12281
39,7,0,false,1482,12955
40,8,0,false,1560,13647
41,9,0,false,1640,14357
42,9,0,false,1722,15085
43,10,0,false,1806,15831
44,10,0,false,1892,16595
45,11,0,false,1980,17377
46,11,0,false,2070,18177
47,12,0,false,2162,18995
48,13,0,false,2256,19831
49,13,0,false,2352,20685
50,14,0,false,2450,21557
51,15,0,false,2550,22447
52,16,0,false,2652,23355
53,16,0,false,2756,24281
54,17,0,false,2862,25225
55,18,0,false,2970,26187
56,19,0,false,3080,27167
57,20,0,false,3192,28165
58,21,0,false,3306,29181
59,22,0,false,3422,30215
